url,label,source,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
nhk.or.jp,5,MBFC,89612144,40057693,955882,955844,89470565,21576848,10388131,18216,198,79079780,76799,6417,3538,134247,45188,833,692908,27680754,2583332,225400,41897,109439,1645
nhk.or.jp/nhkworld,5,MBFC,92538968,41191781,925814,925771,92404723,21971596,10707407,18634,222,81694619,73190,6222,3917,237378,42342,767,688690,27157209,2476268,225187,42130,110565,1657
nhregister.com,5,MBFC,5378332,2831023,2755152,2746987,4928785,300915,469163,4627,13,4459579,3605,361480,1446,6282,1285,0,2662683,67816587,23633273,26106,10562,18491,86315
niagara-gazette.com,5,MBFC,120116,88522,71155,70977,118990,2075,55828,313,16,63158,181,723,139,7214,203,2,61814,2354796,406991,8766,4430,6902,95
niemanlab.org,5,MBFC,1178272,821958,0,0,1174231,38590,135454,2856,23,1038500,2886,32,441,10173,710,16,0,0,0,35914,14461,27359,0
nine.com.au,5,MBFC,48082168,16845526,1058486,1058458,48048999,1408954,2913267,11885,1006,45134866,17129,15574,80,16651,405,9,477815,22841300,7628292,41494,15185,31955,37798
niskanencenter.org,5,MBFC,209013,88190,5325,5325,208815,25836,18652,961,0,190128,93,7,42,1432,19,7,2801,130491,58364,7723,3850,6134,2987
nj.com,5,MBFC,76860982,22048936,8171240,8169622,76654811,1717887,3123195,64318,425,73529683,12823,53335,9956,126478,6132,3007,4835085,393180852,43466468,291655,35548,82414,52137
nj1015.com,5,MBFC,764194,468211,221329,221323,760999,40192,190088,2838,8,570896,646,1441,175,2538,1008,0,207028,17387908,2901405,17030,6903,11633,18472
nknews.org,5,MBFC,663913,312710,34830,34829,661914,65241,64109,1784,1,597784,791,11,55,1829,1118,5,30609,1720841,308547,15522,6540,11245,2557
NNettle.com,1,Politico,27189,25561,606,606,27187,220,490,75,0,26697,2,0,0,14,0,0,0,0,606,417,325,374,1
